,path,items,AGM
152,GZIP_y2016_s5000/CIK__1019737__serial__902948__date__2016-11-22.txt.gz,False,False
153,GZIP_y2016_s5000/CIK__1019849__serial__902952__date__2016-10-19.txt.gz,False,False
154,GZIP_y2016_s5000/CIK__101984___serial__885889__date__2016-08-04.txt.gz,False,False
155,GZIP_y2016_s5000/CIK__101984___serial__902954__date__2016-11-01.txt.gz,False,False
156,GZIP_y2016_s5000/CIK__102037___serial__885893__date__2016-07-11.txt.gz,False,False
157,GZIP_y2016_s5000/CIK__102037___serial__885894__date__2016-08-04.txt.gz,False,True
158,GZIP_y2016_s5000/CIK__1020569__serial__865684__date__2016-04-01.txt.gz,False,False
159,GZIP_y2016_s5000/CIK__1020569__serial__865687__date__2016-05-02.txt.gz,False,False
160,GZIP_y2016_s5000/CIK__1020569__serial__865692__date__2016-06-03.txt.gz,False,False
161,GZIP_y2016_s5000/CIK__1020710__serial__885905__date__2016-07-11.txt.gz,True,False
162,GZIP_y2016_s5000/CIK__1020710__serial__885906__date__2016-08-09.txt.gz,False,False
163,GZIP_y2016_s5000/CIK__1020710__serial__902976__date__2016-11-14.txt.gz,False,False
164,GZIP_y2016_s5000/CIK__1020859__serial__865699__date__2016-06-06.txt.gz,False,False
165,GZIP_y2016_s5000/CIK__1021096__serial__865702__date__2016-05-12.txt.gz,False,False
166,GZIP_y2016_s5000/CIK__1021162__serial__865706__date__2016-05-04.txt.gz,False,False
167,GZIP_y2016_s5000/CIK__1021162__serial__885919__date__2016-07-27.txt.gz,True,False
168,GZIP_y2016_s5000/CIK__1021270__serial__885924__date__2016-08-25.txt.gz,False,False
169,GZIP_y2016_s5000/CIK__1021270__serial__902990__date__2016-12-08.txt.gz,False,False
170,GZIP_y2016_s5000/CIK__1021561__serial__865714__date__2016-04-12.txt.gz,False,False
171,GZIP_y2016_s5000/CIK__1021561__serial__902994__date__2016-11-03.txt.gz,False,False
172,GZIP_y2016_s5000/CIK__1021635__serial__865723__date__2016-05-05.txt.gz,False,False
173,GZIP_y2016_s5000/CIK__1022079__serial__865733__date__2016-05-23.txt.gz,False,False
174,GZIP_y2016_s5000/CIK__1022079__serial__885935__date__2016-07-21.txt.gz,False,False
